Id,Ref Des,Value,Qty. per board,# of boards,# of extra,Total Qty.,Package / Footprint,MPN,Price per unit,Total Price,Part Page
1,R2,470K,1,3,2,5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,RMCF0805JT470K,$0.10,$0.50,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805JT470K/1757857
2,"R1,R3",1K,2,3,2,8,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,RMCF0805FT1K00,$0.10,$0.80,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805FT1K00/1760090
3,C1,1U,1,3,2,5,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,CL21B105KOFVPNE,$0.19,$0.95,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B105KOFVPNE/5961331
4,U1,7555,1,3,2,5,SOIC-8_3.9x4.9mm_P1.27mm,ICM7555ISA+T,$3.29,$16.45,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/ICM7555ISA-T/8347331
5,D1,LED,1,3,2,5,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,LG R971-KN-1,$0.30,$1.50,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/LG-R971-KN-1/1227925
6,BT1,CR2032,1,3,2,5,S8211-46R,S8211-46R,$0.79,$3.95,https://www.digikey.com/en/products/detail/harwin-inc/S8211-46R/3131050?utm_adgroup=Battery%20Products&utm_source=google&utm_medium=cpc&utm_campaign=Dynamic%20Search_EN_Product&utm_term=&utm_content=Battery%20Products
7,BATTERY,,1,3,2,5,CR2032,P189-ND,$0.48,$2.40,https://www.digikey.com/en/products/detail/panasonic-bsg/CR2032/31939
,,,,,,,,,Total,$26.55,
,,,,,,,,,,,
,,,,,,,,,https://www.digikey.com/short/3j4p9jmv,,
